96 saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 1.70121, 'val_kl_Loss_FC': 4e-05}
97 saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 1.65032, 'val_kl_Loss_FC': 3e-05}
98 saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 1.68802, 'val_kl_Loss_FC': 1e-05}
99 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 1.73044, 'val_kl_Loss_FC': 7e-05}
100 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 1.61581, 'val_kl_Loss_FC': 0.0}
101 saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 1.64172, 'val_kl_Loss_FC': 4e-05}
102 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 1.55841, 'val_kl_Loss_FC': 3e-05}
103 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 1.61343, 'val_kl_Loss_FC': 2e-05}
104 not saved {'val_OrigRecLoss': 0.00042, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 1.59521, 'val_kl_Loss_FC': 3e-05}
105 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 1.57958, 'val_kl_Loss_FC': 1e-05}
106 saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 1.5986, 'val_kl_Loss_FC': 3e-05}
107 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 1.50351, 'val_kl_Loss_FC': 5e-05}
108 saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 1.68484, 'val_kl_Loss_FC': 1e-05}
109 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 1.65095, 'val_kl_Loss_FC': 2e-05}
110 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 1.58491, 'val_kl_Loss_FC': 1e-05}
111 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 1.64051, 'val_kl_Loss_FC': 0.0}
112 saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 1.59701, 'val_kl_Loss_FC': 4e-05}
113 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 1.64828, 'val_kl_Loss_FC': 3e-05}
114 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 1.56605, 'val_kl_Loss_FC': 1e-05}
115 not saved {'val_OrigRecLoss': 0.00042, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 1.55058, 'val_kl_Loss_FC': 3e-05}
116 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 1.55196, 'val_kl_Loss_FC': 3e-05}
117 saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00018, 'val_kl_Loss_Z': 1.7516, 'val_kl_Loss_FC': 5e-05}
118 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 1.52362, 'val_kl_Loss_FC': 1e-05}
119 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 1.49816, 'val_kl_Loss_FC': 3e-05}
120 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 1.54776, 'val_kl_Loss_FC': 3e-05}
121 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 1.57965, 'val_kl_Loss_FC': 1e-05}
122 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 1.5602, 'val_kl_Loss_FC': 4e-05}
123 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 1.37916, 'val_kl_Loss_FC': 1e-05}
124 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 1.36705, 'val_kl_Loss_FC': 1e-05}
