133 saved {'val_OrigRecLoss': 0.003, 'val_FeatRecLoss': 0.00191, 'val_kl_Loss_FC': 1e-05}
134 saved {'val_OrigRecLoss': 0.003, 'val_FeatRecLoss': 0.00191, 'val_kl_Loss_FC': 0.0}
135 saved {'val_OrigRecLoss': 0.00299, 'val_FeatRecLoss': 0.00192, 'val_kl_Loss_FC': 0.0}
136 saved {'val_OrigRecLoss': 0.00298, 'val_FeatRecLoss': 0.00191, 'val_kl_Loss_FC': 0.0}
137 saved {'val_OrigRecLoss': 0.00298, 'val_FeatRecLoss': 0.00191, 'val_kl_Loss_FC': 1e-05}
138 saved {'val_OrigRecLoss': 0.00297, 'val_FeatRecLoss': 0.0019, 'val_kl_Loss_FC': 1e-05}
139 saved {'val_OrigRecLoss': 0.00297, 'val_FeatRecLoss': 0.00191, 'val_kl_Loss_FC': 1e-05}
140 saved {'val_OrigRecLoss': 0.00296, 'val_FeatRecLoss': 0.00191, 'val_kl_Loss_FC': 1e-05}
141 not saved {'val_OrigRecLoss': 0.00296, 'val_FeatRecLoss': 0.00191, 'val_kl_Loss_FC': 1e-05}
142 saved {'val_OrigRecLoss': 0.00294, 'val_FeatRecLoss': 0.0019, 'val_kl_Loss_FC': 0.0}
143 saved {'val_OrigRecLoss': 0.00294, 'val_FeatRecLoss': 0.00189, 'val_kl_Loss_FC': 1e-05}
144 saved {'val_OrigRecLoss': 0.00293, 'val_FeatRecLoss': 0.00188, 'val_kl_Loss_FC': 0.0}
145 saved {'val_OrigRecLoss': 0.00292, 'val_FeatRecLoss': 0.00189, 'val_kl_Loss_FC': 1e-05}
146 saved {'val_OrigRecLoss': 0.00291, 'val_FeatRecLoss': 0.00187, 'val_kl_Loss_FC': 0.0}
147 saved {'val_OrigRecLoss': 0.00291, 'val_FeatRecLoss': 0.00187, 'val_kl_Loss_FC': 0.0}
148 saved {'val_OrigRecLoss': 0.0029, 'val_FeatRecLoss': 0.00186, 'val_kl_Loss_FC': 0.0}
149 saved {'val_OrigRecLoss': 0.00288, 'val_FeatRecLoss': 0.00187, 'val_kl_Loss_FC': 0.0}
150 saved {'val_OrigRecLoss': 0.00287, 'val_FeatRecLoss': 0.00186, 'val_kl_Loss_FC': 0.0}
151 saved {'val_OrigRecLoss': 0.00287, 'val_FeatRecLoss': 0.00187, 'val_kl_Loss_FC': 1e-05}
152 saved {'val_OrigRecLoss': 0.00286, 'val_FeatRecLoss': 0.00186, 'val_kl_Loss_FC': 1e-05}
153 saved {'val_OrigRecLoss': 0.00284, 'val_FeatRecLoss': 0.00187, 'val_kl_Loss_FC': 0.0}
154 not saved {'val_OrigRecLoss': 0.00286, 'val_FeatRecLoss': 0.00184, 'val_kl_Loss_FC': 1e-05}
155 saved {'val_OrigRecLoss': 0.00283, 'val_FeatRecLoss': 0.00185, 'val_kl_Loss_FC': 0.0}
156 saved {'val_OrigRecLoss': 0.00283, 'val_FeatRecLoss': 0.00184, 'val_kl_Loss_FC': 1e-05}
157 saved {'val_OrigRecLoss': 0.00282, 'val_FeatRecLoss': 0.00184, 'val_kl_Loss_FC': 1e-05}
158 saved {'val_OrigRecLoss': 0.00282, 'val_FeatRecLoss': 0.00186, 'val_kl_Loss_FC': 0.0}
159 saved {'val_OrigRecLoss': 0.00281, 'val_FeatRecLoss': 0.00184, 'val_kl_Loss_FC': 1e-05}
160 saved {'val_OrigRecLoss': 0.0028, 'val_FeatRecLoss': 0.00184, 'val_kl_Loss_FC': 0.0}
