85 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 1.56164, 'val_kl_Loss_FC': 1e-05}
86 saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 1.57626, 'val_kl_Loss_FC': 0.0}
87 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 1.50708, 'val_kl_Loss_FC': 0.0}
88 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 1.51349, 'val_kl_Loss_FC': 1e-05}
89 not saved {'val_OrigRecLoss': 0.00042, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 1.49848, 'val_kl_Loss_FC': 0.0}
90 saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 1.48622, 'val_kl_Loss_FC': 0.0}
91 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 1.53786, 'val_kl_Loss_FC': 1e-05}
92 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 1.42414, 'val_kl_Loss_FC': 0.0}
93 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 1.41601, 'val_kl_Loss_FC': 0.0}
94 saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 1.39873, 'val_kl_Loss_FC': 0.0}
95 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 1.34869, 'val_kl_Loss_FC': 1e-05}
96 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 1.46043, 'val_kl_Loss_FC': 1e-05}
97 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00027, 'val_kl_Loss_Z': 1.45932, 'val_kl_Loss_FC': 0.0}
98 saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 1.3756, 'val_kl_Loss_FC': 0.0}
99 saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 1.28089, 'val_kl_Loss_FC': 1e-05}
100 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 1.25675, 'val_kl_Loss_FC': 0.0}
101 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 1.30015, 'val_kl_Loss_FC': 0.0}
102 saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 1.24431, 'val_kl_Loss_FC': 1e-05}
103 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 1.19707, 'val_kl_Loss_FC': 0.0}
104 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 1.22132, 'val_kl_Loss_FC': 1e-05}
105 saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 1.17079, 'val_kl_Loss_FC': 0.0}
106 saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 1.18305, 'val_kl_Loss_FC': 1e-05}
107 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 1.1072, 'val_kl_Loss_FC': 0.0}
108 saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 1.10256, 'val_kl_Loss_FC': 0.0}
109 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 1.12577, 'val_kl_Loss_FC': 1e-05}
110 saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 1.06119, 'val_kl_Loss_FC': 0.0}
111 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 1.04991, 'val_kl_Loss_FC': 0.0}
112 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 1.04162, 'val_kl_Loss_FC': 2e-05}
113 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 1.05634, 'val_kl_Loss_FC': 0.0}
114 saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 1.01967, 'val_kl_Loss_FC': 0.0}
