121 saved {'val_OrigRecLoss': 0.00318, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 0.25756}
122 not saved {'val_OrigRecLoss': 0.00318, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 0.27}
123 saved {'val_OrigRecLoss': 0.00317, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 0.26695}
124 saved {'val_OrigRecLoss': 0.00317, 'val_FeatRecLoss': 0.00027, 'val_kl_Loss_Z': 0.26094}
125 saved {'val_OrigRecLoss': 0.00317, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 0.26275}
126 saved {'val_OrigRecLoss': 0.00317, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 0.25927}
127 saved {'val_OrigRecLoss': 0.00317, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 0.2711}
128 not saved {'val_OrigRecLoss': 0.00317, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 0.2656}
129 saved {'val_OrigRecLoss': 0.00316, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 0.26313}
130 not saved {'val_OrigRecLoss': 0.00316, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 0.25928}
131 saved {'val_OrigRecLoss': 0.00316, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 0.26009}
132 saved {'val_OrigRecLoss': 0.00316, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 0.25365}
133 not saved {'val_OrigRecLoss': 0.0032, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 0.26162}
134 not saved {'val_OrigRecLoss': 0.00316, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 0.25533}
135 saved {'val_OrigRecLoss': 0.00316, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 0.25233}
136 saved {'val_OrigRecLoss': 0.00316, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 0.27577}
137 saved {'val_OrigRecLoss': 0.00316, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 0.26221}
138 saved {'val_OrigRecLoss': 0.00316, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 0.25694}
139 not saved {'val_OrigRecLoss': 0.00316, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 0.25931}
140 not saved {'val_OrigRecLoss': 0.00316, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 0.25936}
141 saved {'val_OrigRecLoss': 0.00316, 'val_FeatRecLoss': 0.00027, 'val_kl_Loss_Z': 0.26665}
142 not saved {'val_OrigRecLoss': 0.00316, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 0.25899}
143 not saved {'val_OrigRecLoss': 0.00316, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 0.26284}
144 not saved {'val_OrigRecLoss': 0.00316, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 0.27352}
145 saved {'val_OrigRecLoss': 0.00316, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 0.28648}
146 saved {'val_OrigRecLoss': 0.00316, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 0.28973}
147 saved {'val_OrigRecLoss': 0.00315, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 0.28453}
148 not saved {'val_OrigRecLoss': 0.00316, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 0.29348}
149 not saved {'val_OrigRecLoss': 0.00315, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 0.30396}
150 saved {'val_OrigRecLoss': 0.00315, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 0.29422}
151 not saved {'val_OrigRecLoss': 0.00316, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 0.30218}
152 not saved {'val_OrigRecLoss': 0.00316, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 0.31419}
153 not saved {'val_OrigRecLoss': 0.00316, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 0.31066}
