Type,Source,Hyperparameter,Setting,mean,std,max,min,n,IscoreType,MetricType
ART,Mimic,$\zeta$,1,0.9729801720754626,0.012119875750236694,0.9814990756300124,0.9591049728039788,3,RA,fft
ART,Mimic,$\zeta$,2,0.9759344684048639,0.012872511655898592,0.9833792301034286,0.9610705796338532,3,RA,fft
ART,VitalDB,$\zeta$,1,0.9606065934938098,0.011199641234756521,0.968242760383866,0.9477497778253078,3,RA,fft
ART,VitalDB,$\zeta$,2,0.9627531301072222,0.01548383943478261,0.9719801452815512,0.9448770463422688,3,RA,fft
II,Mimic,$\zeta$,1,0.37147132975020614,0.0393911481123008,0.3951680472599171,0.3259998876439693,3,RA,fft
II,Mimic,$\zeta$,2,0.38552993219997606,0.011789515213257669,0.3969723106832798,0.3734215174301896,3,RA,fft
II,VitalDB,$\zeta$,1,0.8024452832910215,0.010003955932401503,0.8101484694206664,0.7911388376531118,3,RA,fft
II,VitalDB,$\zeta$,2,0.8071236490251171,0.004670042067403949,0.8122835028935531,0.8031868050139883,3,RA,fft
ART,Mimic,$J$,30,0.9704664039268845,0.012184433273794265,0.9833535954773096,0.9591049728039788,4,RA,fft
ART,Mimic,$J$,50,0.9824391528667205,0.0013294699778309085,0.9833792301034286,0.9814990756300124,2,RA,fft
ART,VitalDB,$J$,30,0.9580679458123224,0.013684462856560206,0.9714021986978468,0.9448770463422688,4,RA,fft
ART,VitalDB,$J$,50,0.9689036937769033,0.004350759441856078,0.9719801452815512,0.9658272422722556,2,RA,fft
II,Mimic,$J$,30,0.37289044075433897,0.033041560820295364,0.3969723106832798,0.3259998876439693,4,RA,fft
II,Mimic,$J$,50,0.3897210114165953,0.004985163519746729,0.393246054346732,0.3861959684864586,2,RA,fft
II,VitalDB,$J$,30,0.8015687061585491,0.0070766041967199565,0.8060485427992865,0.7911388376531118,4,RA,fft
II,VitalDB,$J$,50,0.8112159861571098,0.0015096966467384382,0.8122835028935531,0.8101484694206664,2,RA,fft
ART,Mimic,$C$,500,0.960087776218916,0.0013898939185508592,0.9610705796338532,0.9591049728039788,2,RA,fft
ART,Mimic,$C$,800,0.9816420922507868,0.002373078031250059,0.9833792301034286,0.9783364677923966,4,RA,fft
ART,VitalDB,$C$,500,0.9463134120837883,0.002031327912184975,0.9477497778253078,0.9448770463422688,2,RA,fft
ART,VitalDB,$C$,800,0.9693630866588799,0.002873110987000359,0.9719801452815512,0.9658272422722556,4,RA,fft
II,Mimic,$C$,500,0.36148609916362456,0.05018508160833682,0.3969723106832798,0.3259998876439693,2,RA,fft
II,Mimic,$C$,800,0.3870078968808243,0.009844653321694877,0.3951680472599171,0.3734215174301896,4,RA,fft
II,VitalDB,$C$,500,0.798519738410461,0.01043816995357298,0.8059006391678101,0.7911388376531118,2,RA,fft
II,VitalDB,$C$,800,0.8079168300318735,0.004078875665989706,0.8122835028935531,0.8031868050139883,4,RA,fft
ART,Mimic,$\zeta$,1,0.8236083829115696,0.0066976323660709715,0.8293069169788684,0.8162310576380211,3,ISCOREam,matching_pursuit
ART,Mimic,$\zeta$,2,0.7719643782039999,0.004613262961400087,0.7750440229976551,0.7666603777946828,3,ISCOREam,matching_pursuit
ART,VitalDB,$\zeta$,1,0.8535645542362978,0.013359183401865761,0.8676713649730525,0.8411059477345006,3,ISCOREam,matching_pursuit
ART,VitalDB,$\zeta$,2,0.8060703697387552,0.038077137284509996,0.8498182500968922,0.7803937190906886,3,ISCOREam,matching_pursuit
II,Mimic,$\zeta$,1,0.5600719311061421,0.004366485645070909,0.5649181509896326,0.5564439097488745,3,ISCOREam,matching_pursuit
II,Mimic,$\zeta$,2,0.5633125900814893,0.05639853353631186,0.6283461413870175,0.5278339757278636,3,ISCOREam,matching_pursuit
II,VitalDB,$\zeta$,1,0.6714467016839415,0.009102881967376159,0.6804258327414893,0.6622249205852133,3,ISCOREam,matching_pursuit
II,VitalDB,$\zeta$,2,0.6640875076755752,0.011960301942388028,0.6770095457566552,0.65340576340986,3,ISCOREam,matching_pursuit
ART,Mimic,$J$,30,0.7986926828585517,0.028310943422379813,0.8293069169788684,0.7741887338196621,4,ISCOREam,matching_pursuit
ART,Mimic,$J$,50,0.7959737759562509,0.04145540523933213,0.8252871741178189,0.7666603777946828,2,ISCOREam,matching_pursuit
ART,VitalDB,$J$,30,0.8327099219653546,0.030172443495472476,0.8519163500013407,0.7879991400286852,4,ISCOREam,matching_pursuit
ART,VitalDB,$J$,50,0.8240325420318706,0.061714615249417765,0.8676713649730525,0.7803937190906886,2,ISCOREam,matching_pursuit
II,Mimic,$J$,30,0.5693503592113495,0.04092309311016089,0.6283461413870175,0.5337576531295868,4,ISCOREam,matching_pursuit
II,Mimic,$J$,50,0.5463760633587481,0.026222471802307266,0.5649181509896326,0.5278339757278636,2,ISCOREam,matching_pursuit
II,VitalDB,$J$,30,0.6681927579818002,0.007435117749881549,0.6770095457566552,0.6618472138602105,4,ISCOREam,matching_pursuit
II,VitalDB,$J$,50,0.6669157980756746,0.019106074252525675,0.6804258327414893,0.65340576340986,2,ISCOREam,matching_pursuit
ART,Mimic,$C$,500,0.8017478253992653,0.0389744410785569,0.8293069169788684,0.7741887338196621,2,ISCOREam,matching_pursuit
ART,Mimic,$C$,800,0.7958056581370445,0.029250923570576556,0.8252871741178189,0.7666603777946828,4,ISCOREam,matching_pursuit
ART,VitalDB,$C$,500,0.8145525438815929,0.0375521838559521,0.8411059477345006,0.7879991400286852,2,ISCOREam,matching_pursuit
ART,VitalDB,$C$,800,0.8374499210404935,0.03886300290693079,0.8676713649730525,0.7803937190906886,4,ISCOREam,matching_pursuit
II,Mimic,$C$,500,0.592395025567946,0.05084255557377685,0.6283461413870175,0.5564439097488745,2,ISCOREam,matching_pursuit
II,Mimic,$C$,800,0.5463408781067505,0.01828049581128592,0.5649181509896326,0.5278339757278636,4,ISCOREam,matching_pursuit
II,VitalDB,$C$,500,0.6667682827926662,0.006959442425651735,0.6716893517251219,0.6618472138602105,2,ISCOREam,matching_pursuit
II,VitalDB,$C$,800,0.6682665156233044,0.012670601086069848,0.6804258327414893,0.65340576340986,4,ISCOREam,matching_pursuit
ART,Mimic,$\zeta$,1,0.8055843867198361,0.008881503581437076,0.8138192642384053,0.796173442500301,3,ISCOREgm,matching_pursuit
ART,Mimic,$\zeta$,2,0.7458070179125446,0.006708788505894156,0.7529413153687002,0.7396256402212472,3,ISCOREgm,matching_pursuit
ART,VitalDB,$\zeta$,1,0.8431881785058777,0.01449110054097931,0.8587839041646994,0.8301394109192037,3,ISCOREgm,matching_pursuit
ART,VitalDB,$\zeta$,2,0.7884628697659742,0.04614206169924384,0.841647589388982,0.7591084352227938,3,ISCOREgm,matching_pursuit
II,Mimic,$\zeta$,1,0.4701413642860699,0.006120656350094004,0.4771298634916299,0.4657343752372476,3,ISCOREgm,matching_pursuit
II,Mimic,$\zeta$,2,0.4525435815106067,0.04018140925891224,0.49646193089582596,0.4176256418116178,3,ISCOREgm,matching_pursuit
II,VitalDB,$\zeta$,1,0.6014590489428909,0.011481577496910261,0.609578250359983,0.5883227997295788,3,ISCOREgm,matching_pursuit
