MetricType,Model,Source,Type,Depth,LatDim,Comp,MP,AC,SS,RA,ISCOREam,ISCOREgm,ISCOREhm
fft,VDWave_ART_Mimic,Mimic,ART,,0,,0.9467935834699653,0.029156579980064545,0.6908865187538389,0.9608979068902463,0.6569336472735288,0.36793318768521965,0.1057029913499172
fft,VDWave_ART_VitalDB,VitalDB,ART,,0,,0.9317331362190628,0.028963035584735744,0.7911668254692144,0.9640791075332642,0.6789855262015694,0.37877306628200136,0.10553741201910442
fft,VDWave_II_Mimic,Mimic,II,,0,,0.92690852596708,0.028814969889924227,0.8836758938791792,0.8824253430881828,0.6804561832060916,0.3798888149687149,0.10513059518221846
fft,VDWave_II_VitalDB,VitalDB,II,,0,,0.7267652391282744,0.028217579555754137,0.8515785494572932,0.8923703950901005,0.6247329408078555,0.3533222139586568,0.10227625640653448
fft,Wavenet_ART_Mimic,Mimic,ART,,0,,0.2165604761633968,0.3049568026176002,0.6368591959939258,0.9667606001874164,0.5312842687405848,0.4490502810332016,0.38090200161820637
fft,Wavenet_ART_VitalDB,VitalDB,ART,,0,,0.10300173797570655,0.2627031055101975,0.6910859466261707,0.9664325049353356,0.5058058237618526,0.36665139138558733,0.25004869690473314
fft,Wavenet_II_Mimic,Mimic,II,,0,,0.09522867859883222,0.1997927902253471,0.5635917666810308,0.0682660536100339,0.23171982227881102,0.16448611833379462,0.12527746259528058
fft,Wavenet_II_VitalDB,VitalDB,II,,0,,0.21729851586675375,0.29508299166046387,0.627383792908274,0.6945138092304246,0.45856977741647903,0.4088403766370486,0.3628243553780854
matching_pursuit,ConVAE_ART_30_Mimic,Mimic,ART,,30,,0.0387152985779734,0.6090433743073264,0.6222037123781738,0.9824704991898252,0.5631082211133247,0.34649401555315507,0.13290566658634737
matching_pursuit,ConVAE_ART_30_VitalDB,VitalDB,ART,,30,,0.016166638812080025,0.7001614686787005,0.690204013210136,0.9774215456114432,0.59598841657809,0.29561014381117634,0.06083098256677118
matching_pursuit,ConVAE_II_30_Mimic,Mimic,II,,30,,0.005663914893800581,0.7421902446360713,0.19923570435566396,0.425464917822434,0.3431386954269925,0.13739335272567105,0.021589734241749398
