150 not saved {'val_OrigRecLoss': 0.01127, 'val_FeatRecLoss': 0.0002, 'val_kl_Loss_Z': 0.7487}
151 not saved {'val_OrigRecLoss': 0.01142, 'val_FeatRecLoss': 0.0002, 'val_kl_Loss_Z': 0.73032}
152 not saved {'val_OrigRecLoss': 0.01128, 'val_FeatRecLoss': 0.00021, 'val_kl_Loss_Z': 0.72841}
153 not saved {'val_OrigRecLoss': 0.01128, 'val_FeatRecLoss': 0.00021, 'val_kl_Loss_Z': 0.75644}
154 not saved {'val_OrigRecLoss': 0.01135, 'val_FeatRecLoss': 0.0002, 'val_kl_Loss_Z': 0.71273}
155 not saved {'val_OrigRecLoss': 0.0115, 'val_FeatRecLoss': 0.00021, 'val_kl_Loss_Z': 0.72395}
156 not saved {'val_OrigRecLoss': 0.01136, 'val_FeatRecLoss': 0.0002, 'val_kl_Loss_Z': 0.73575}
157 saved {'val_OrigRecLoss': 0.01112, 'val_FeatRecLoss': 0.0002, 'val_kl_Loss_Z': 0.71188}
158 not saved {'val_OrigRecLoss': 0.01145, 'val_FeatRecLoss': 0.00021, 'val_kl_Loss_Z': 0.71231}
159 saved {'val_OrigRecLoss': 0.01103, 'val_FeatRecLoss': 0.0002, 'val_kl_Loss_Z': 0.70452}
160 not saved {'val_OrigRecLoss': 0.0112, 'val_FeatRecLoss': 0.00019, 'val_kl_Loss_Z': 0.70577}
161 not saved {'val_OrigRecLoss': 0.01118, 'val_FeatRecLoss': 0.0002, 'val_kl_Loss_Z': 0.68688}
162 not saved {'val_OrigRecLoss': 0.01141, 'val_FeatRecLoss': 0.0002, 'val_kl_Loss_Z': 0.68774}
163 not saved {'val_OrigRecLoss': 0.01141, 'val_FeatRecLoss': 0.0002, 'val_kl_Loss_Z': 0.68869}
164 not saved {'val_OrigRecLoss': 0.01138, 'val_FeatRecLoss': 0.00021, 'val_kl_Loss_Z': 0.70744}
165 not saved {'val_OrigRecLoss': 0.01128, 'val_FeatRecLoss': 0.0002, 'val_kl_Loss_Z': 0.73032}
