126 saved {'val_OrigRecLoss': 0.00116, 'val_FeatRecLoss': 0.00067, 'val_kl_Loss_FC': 1e-05}
127 saved {'val_OrigRecLoss': 0.00115, 'val_FeatRecLoss': 0.00069, 'val_kl_Loss_FC': 1e-05}
128 not saved {'val_OrigRecLoss': 0.00119, 'val_FeatRecLoss': 0.00068, 'val_kl_Loss_FC': 1e-05}
129 not saved {'val_OrigRecLoss': 0.00121, 'val_FeatRecLoss': 0.00067, 'val_kl_Loss_FC': 0.0}
130 saved {'val_OrigRecLoss': 0.00114, 'val_FeatRecLoss': 0.00068, 'val_kl_Loss_FC': 0.0}
131 not saved {'val_OrigRecLoss': 0.0012, 'val_FeatRecLoss': 0.00068, 'val_kl_Loss_FC': 1e-05}
132 not saved {'val_OrigRecLoss': 0.00118, 'val_FeatRecLoss': 0.00067, 'val_kl_Loss_FC': 0.0}
133 saved {'val_OrigRecLoss': 0.00114, 'val_FeatRecLoss': 0.00067, 'val_kl_Loss_FC': 1e-05}
134 not saved {'val_OrigRecLoss': 0.00116, 'val_FeatRecLoss': 0.00066, 'val_kl_Loss_FC': 0.0}
135 not saved {'val_OrigRecLoss': 0.00117, 'val_FeatRecLoss': 0.00068, 'val_kl_Loss_FC': 0.0}
136 saved {'val_OrigRecLoss': 0.00112, 'val_FeatRecLoss': 0.00069, 'val_kl_Loss_FC': 1e-05}
137 not saved {'val_OrigRecLoss': 0.00114, 'val_FeatRecLoss': 0.00068, 'val_kl_Loss_FC': 0.0}
138 not saved {'val_OrigRecLoss': 0.00113, 'val_FeatRecLoss': 0.00069, 'val_kl_Loss_FC': 0.0}
139 not saved {'val_OrigRecLoss': 0.00114, 'val_FeatRecLoss': 0.00076, 'val_kl_Loss_FC': 0.0}
140 not saved {'val_OrigRecLoss': 0.00115, 'val_FeatRecLoss': 0.00066, 'val_kl_Loss_FC': 1e-05}
141 not saved {'val_OrigRecLoss': 0.00116, 'val_FeatRecLoss': 0.00069, 'val_kl_Loss_FC': 0.0}
142 saved {'val_OrigRecLoss': 0.00112, 'val_FeatRecLoss': 0.00068, 'val_kl_Loss_FC': 1e-05}
143 not saved {'val_OrigRecLoss': 0.00119, 'val_FeatRecLoss': 0.0007, 'val_kl_Loss_FC': 1e-05}
144 not saved {'val_OrigRecLoss': 0.00117, 'val_FeatRecLoss': 0.00065, 'val_kl_Loss_FC': 0.0}
