91 saved {'val_OrigRecLoss': 0.00132, 'val_FeatRecLoss': 0.0026, 'val_kl_Loss_Z': 3.93829, 'val_kl_Loss_FC': 0.0}
92 saved {'val_OrigRecLoss': 0.00135, 'val_FeatRecLoss': 0.0025, 'val_kl_Loss_Z': 8.02557, 'val_kl_Loss_FC': 1e-05}
93 saved {'val_OrigRecLoss': 0.00132, 'val_FeatRecLoss': 0.00185, 'val_kl_Loss_Z': 8.02494, 'val_kl_Loss_FC': 2e-05}
94 saved {'val_OrigRecLoss': 0.0013, 'val_FeatRecLoss': 0.00152, 'val_kl_Loss_Z': 9.32665, 'val_kl_Loss_FC': 1e-05}
95 saved {'val_OrigRecLoss': 0.00136, 'val_FeatRecLoss': 0.00132, 'val_kl_Loss_Z': 10.10253, 'val_kl_Loss_FC': 0.0}
96 saved {'val_OrigRecLoss': 0.00128, 'val_FeatRecLoss': 0.00114, 'val_kl_Loss_Z': 10.53846, 'val_kl_Loss_FC': 2e-05}
97 not saved {'val_OrigRecLoss': 0.00128, 'val_FeatRecLoss': 0.00107, 'val_kl_Loss_Z': 10.30204, 'val_kl_Loss_FC': 2e-05}
98 not saved {'val_OrigRecLoss': 0.00131, 'val_FeatRecLoss': 0.001, 'val_kl_Loss_Z': 10.46501, 'val_kl_Loss_FC': 1e-05}
99 not saved {'val_OrigRecLoss': 0.00128, 'val_FeatRecLoss': 0.00095, 'val_kl_Loss_Z': 10.40852, 'val_kl_Loss_FC': 0.0}
100 not saved {'val_OrigRecLoss': 0.00131, 'val_FeatRecLoss': 0.0009, 'val_kl_Loss_Z': 11.01936, 'val_kl_Loss_FC': 1e-05}
101 saved {'val_OrigRecLoss': 0.00126, 'val_FeatRecLoss': 0.00091, 'val_kl_Loss_Z': 10.56512, 'val_kl_Loss_FC': 1e-05}
102 not saved {'val_OrigRecLoss': 0.00129, 'val_FeatRecLoss': 0.00086, 'val_kl_Loss_Z': 10.51975, 'val_kl_Loss_FC': 3e-05}
103 not saved {'val_OrigRecLoss': 0.00129, 'val_FeatRecLoss': 0.00082, 'val_kl_Loss_Z': 10.62297, 'val_kl_Loss_FC': 0.0}
104 not saved {'val_OrigRecLoss': 0.00129, 'val_FeatRecLoss': 0.00081, 'val_kl_Loss_Z': 10.48569, 'val_kl_Loss_FC': 0.0}
105 saved {'val_OrigRecLoss': 0.00123, 'val_FeatRecLoss': 0.00077, 'val_kl_Loss_Z': 10.61012, 'val_kl_Loss_FC': 0.0}
106 not saved {'val_OrigRecLoss': 0.0013, 'val_FeatRecLoss': 0.00076, 'val_kl_Loss_Z': 10.59337, 'val_kl_Loss_FC': 0.0}
107 saved {'val_OrigRecLoss': 0.00122, 'val_FeatRecLoss': 0.00076, 'val_kl_Loss_Z': 10.54526, 'val_kl_Loss_FC': 0.0}
108 saved {'val_OrigRecLoss': 0.0012, 'val_FeatRecLoss': 0.00074, 'val_kl_Loss_Z': 10.26253, 'val_kl_Loss_FC': 0.0}
109 saved {'val_OrigRecLoss': 0.0012, 'val_FeatRecLoss': 0.00073, 'val_kl_Loss_Z': 10.65857, 'val_kl_Loss_FC': 1e-05}
110 not saved {'val_OrigRecLoss': 0.00123, 'val_FeatRecLoss': 0.00072, 'val_kl_Loss_Z': 10.5005, 'val_kl_Loss_FC': 1e-05}
111 not saved {'val_OrigRecLoss': 0.00125, 'val_FeatRecLoss': 0.0007, 'val_kl_Loss_Z': 10.24032, 'val_kl_Loss_FC': 1e-05}
112 not saved {'val_OrigRecLoss': 0.00122, 'val_FeatRecLoss': 0.00072, 'val_kl_Loss_Z': 10.54878, 'val_kl_Loss_FC': 1e-05}
113 not saved {'val_OrigRecLoss': 0.00121, 'val_FeatRecLoss': 0.00069, 'val_kl_Loss_Z': 10.25979, 'val_kl_Loss_FC': 3e-05}
