127 not saved {'val_OrigRecLoss': 0.00147, 'val_FeatRecLoss': 0.00084, 'val_kl_Loss_FC': 2e-05}
128 not saved {'val_OrigRecLoss': 0.00151, 'val_FeatRecLoss': 0.00086, 'val_kl_Loss_FC': 0.0}
129 not saved {'val_OrigRecLoss': 0.00144, 'val_FeatRecLoss': 0.00088, 'val_kl_Loss_FC': 1e-05}
130 saved {'val_OrigRecLoss': 0.00143, 'val_FeatRecLoss': 0.00083, 'val_kl_Loss_FC': 1e-05}
131 not saved {'val_OrigRecLoss': 0.00148, 'val_FeatRecLoss': 0.00083, 'val_kl_Loss_FC': 1e-05}
132 not saved {'val_OrigRecLoss': 0.00144, 'val_FeatRecLoss': 0.00083, 'val_kl_Loss_FC': 0.0}
133 not saved {'val_OrigRecLoss': 0.00154, 'val_FeatRecLoss': 0.00083, 'val_kl_Loss_FC': 1e-05}
134 not saved {'val_OrigRecLoss': 0.0015, 'val_FeatRecLoss': 0.00083, 'val_kl_Loss_FC': 3e-05}
135 saved {'val_OrigRecLoss': 0.00138, 'val_FeatRecLoss': 0.00082, 'val_kl_Loss_FC': 1e-05}
136 not saved {'val_OrigRecLoss': 0.00146, 'val_FeatRecLoss': 0.00084, 'val_kl_Loss_FC': 0.0}
137 not saved {'val_OrigRecLoss': 0.00148, 'val_FeatRecLoss': 0.00082, 'val_kl_Loss_FC': 0.0}
138 saved {'val_OrigRecLoss': 0.00137, 'val_FeatRecLoss': 0.0008, 'val_kl_Loss_FC': 0.0}
139 not saved {'val_OrigRecLoss': 0.0014, 'val_FeatRecLoss': 0.00082, 'val_kl_Loss_FC': 1e-05}
140 not saved {'val_OrigRecLoss': 0.0014, 'val_FeatRecLoss': 0.0008, 'val_kl_Loss_FC': 1e-05}
141 not saved {'val_OrigRecLoss': 0.00138, 'val_FeatRecLoss': 0.0008, 'val_kl_Loss_FC': 0.0}
142 saved {'val_OrigRecLoss': 0.00136, 'val_FeatRecLoss': 0.00084, 'val_kl_Loss_FC': 1e-05}
143 not saved {'val_OrigRecLoss': 0.00138, 'val_FeatRecLoss': 0.00082, 'val_kl_Loss_FC': 1e-05}
144 not saved {'val_OrigRecLoss': 0.00142, 'val_FeatRecLoss': 0.00083, 'val_kl_Loss_FC': 0.0}
145 not saved {'val_OrigRecLoss': 0.00143, 'val_FeatRecLoss': 0.00082, 'val_kl_Loss_FC': 1e-05}
146 not saved {'val_OrigRecLoss': 0.00137, 'val_FeatRecLoss': 0.0008, 'val_kl_Loss_FC': 1e-05}
147 not saved {'val_OrigRecLoss': 0.00142, 'val_FeatRecLoss': 0.00082, 'val_kl_Loss_FC': 1e-05}
148 saved {'val_OrigRecLoss': 0.00134, 'val_FeatRecLoss': 0.00087, 'val_kl_Loss_FC': 0.0}
149 not saved {'val_OrigRecLoss': 0.0014, 'val_FeatRecLoss': 0.0008, 'val_kl_Loss_FC': 1e-05}
150 not saved {'val_OrigRecLoss': 0.00138, 'val_FeatRecLoss': 0.00082, 'val_kl_Loss_FC': 1e-05}
151 not saved {'val_OrigRecLoss': 0.00143, 'val_FeatRecLoss': 0.00081, 'val_kl_Loss_FC': 2e-05}
152 not saved {'val_OrigRecLoss': 0.00143, 'val_FeatRecLoss': 0.00079, 'val_kl_Loss_FC': 1e-05}
153 saved {'val_OrigRecLoss': 0.00134, 'val_FeatRecLoss': 0.0008, 'val_kl_Loss_FC': 0.0}
154 not saved {'val_OrigRecLoss': 0.00134, 'val_FeatRecLoss': 0.00084, 'val_kl_Loss_FC': 1e-05}
155 not saved {'val_OrigRecLoss': 0.00135, 'val_FeatRecLoss': 0.00078, 'val_kl_Loss_FC': 0.0}
156 not saved {'val_OrigRecLoss': 0.00134, 'val_FeatRecLoss': 0.0008, 'val_kl_Loss_FC': 1e-05}
157 saved {'val_OrigRecLoss': 0.00132, 'val_FeatRecLoss': 0.0008, 'val_kl_Loss_FC': 0.0}
158 saved {'val_OrigRecLoss': 0.00132, 'val_FeatRecLoss': 0.0008, 'val_kl_Loss_FC': 0.0}
159 not saved {'val_OrigRecLoss': 0.00136, 'val_FeatRecLoss': 0.00078, 'val_kl_Loss_FC': 1e-05}
160 not saved {'val_OrigRecLoss': 0.00136, 'val_FeatRecLoss': 0.00081, 'val_kl_Loss_FC': 0.0}
161 not saved {'val_OrigRecLoss': 0.00142, 'val_FeatRecLoss': 0.00083, 'val_kl_Loss_FC': 1e-05}
162 saved {'val_OrigRecLoss': 0.00131, 'val_FeatRecLoss': 0.00082, 'val_kl_Loss_FC': 1e-05}
163 saved {'val_OrigRecLoss': 0.00129, 'val_FeatRecLoss': 0.00082, 'val_kl_Loss_FC': 0.0}
164 not saved {'val_OrigRecLoss': 0.00135, 'val_FeatRecLoss': 0.00081, 'val_kl_Loss_FC': 1e-05}
165 not saved {'val_OrigRecLoss': 0.00132, 'val_FeatRecLoss': 0.00079, 'val_kl_Loss_FC': 1e-05}
166 not saved {'val_OrigRecLoss': 0.0013, 'val_FeatRecLoss': 0.00079, 'val_kl_Loss_FC': 2e-05}
167 saved {'val_OrigRecLoss': 0.00127, 'val_FeatRecLoss': 0.00078, 'val_kl_Loss_FC': 0.0}
168 not saved {'val_OrigRecLoss': 0.00129, 'val_FeatRecLoss': 0.00078, 'val_kl_Loss_FC': 0.0}
169 not saved {'val_OrigRecLoss': 0.00129, 'val_FeatRecLoss': 0.00078, 'val_kl_Loss_FC': 0.0}
170 not saved {'val_OrigRecLoss': 0.00127, 'val_FeatRecLoss': 0.00078, 'val_kl_Loss_FC': 1e-05}
171 saved {'val_OrigRecLoss': 0.00126, 'val_FeatRecLoss': 0.00078, 'val_kl_Loss_FC': 1e-05}
172 not saved {'val_OrigRecLoss': 0.00129, 'val_FeatRecLoss': 0.0008, 'val_kl_Loss_FC': 0.0}
173 not saved {'val_OrigRecLoss': 0.0013, 'val_FeatRecLoss': 0.00076, 'val_kl_Loss_FC': 1e-05}
174 not saved {'val_OrigRecLoss': 0.00127, 'val_FeatRecLoss': 0.00083, 'val_kl_Loss_FC': 1e-05}
175 not saved {'val_OrigRecLoss': 0.00127, 'val_FeatRecLoss': 0.00079, 'val_kl_Loss_FC': 0.0}
176 saved {'val_OrigRecLoss': 0.00125, 'val_FeatRecLoss': 0.0008, 'val_kl_Loss_FC': 1e-05}
177 not saved {'val_OrigRecLoss': 0.00126, 'val_FeatRecLoss': 0.0008, 'val_kl_Loss_FC': 2e-05}
178 not saved {'val_OrigRecLoss': 0.00129, 'val_FeatRecLoss': 0.00082, 'val_kl_Loss_FC': 0.0}
179 not saved {'val_OrigRecLoss': 0.00127, 'val_FeatRecLoss': 0.00078, 'val_kl_Loss_FC': 0.0}
180 not saved {'val_OrigRecLoss': 0.00128, 'val_FeatRecLoss': 0.00076, 'val_kl_Loss_FC': 1e-05}
181 not saved {'val_OrigRecLoss': 0.00128, 'val_FeatRecLoss': 0.00077, 'val_kl_Loss_FC': 0.0}
