86 not saved {'val_OrigRecLoss': 0.0014, 'val_FeatRecLoss': 0.00084, 'val_kl_Loss_Z': 9.26051, 'val_kl_Loss_FC': 0.0}
87 not saved {'val_OrigRecLoss': 0.0014, 'val_FeatRecLoss': 0.00076, 'val_kl_Loss_Z': 9.56059, 'val_kl_Loss_FC': 0.0}
88 saved {'val_OrigRecLoss': 0.00136, 'val_FeatRecLoss': 0.00074, 'val_kl_Loss_Z': 9.6492, 'val_kl_Loss_FC': 0.0}
89 not saved {'val_OrigRecLoss': 0.00147, 'val_FeatRecLoss': 0.00073, 'val_kl_Loss_Z': 9.7083, 'val_kl_Loss_FC': 0.0}
90 saved {'val_OrigRecLoss': 0.00133, 'val_FeatRecLoss': 0.0007, 'val_kl_Loss_Z': 9.62541, 'val_kl_Loss_FC': 0.0}
91 not saved {'val_OrigRecLoss': 0.00135, 'val_FeatRecLoss': 0.00069, 'val_kl_Loss_Z': 9.47421, 'val_kl_Loss_FC': 1e-05}
92 saved {'val_OrigRecLoss': 0.0013, 'val_FeatRecLoss': 0.00069, 'val_kl_Loss_Z': 9.84236, 'val_kl_Loss_FC': 0.0}
93 not saved {'val_OrigRecLoss': 0.00132, 'val_FeatRecLoss': 0.00065, 'val_kl_Loss_Z': 9.84216, 'val_kl_Loss_FC': 1e-05}
94 not saved {'val_OrigRecLoss': 0.00138, 'val_FeatRecLoss': 0.00064, 'val_kl_Loss_Z': 9.77141, 'val_kl_Loss_FC': 0.0}
95 not saved {'val_OrigRecLoss': 0.00135, 'val_FeatRecLoss': 0.00064, 'val_kl_Loss_Z': 9.75837, 'val_kl_Loss_FC': 0.0}
96 not saved {'val_OrigRecLoss': 0.0013, 'val_FeatRecLoss': 0.00065, 'val_kl_Loss_Z': 9.7327, 'val_kl_Loss_FC': 1e-05}
97 not saved {'val_OrigRecLoss': 0.00136, 'val_FeatRecLoss': 0.00062, 'val_kl_Loss_Z': 9.86354, 'val_kl_Loss_FC': 0.0}
98 not saved {'val_OrigRecLoss': 0.00131, 'val_FeatRecLoss': 0.00067, 'val_kl_Loss_Z': 9.47546, 'val_kl_Loss_FC': 1e-05}
99 saved {'val_OrigRecLoss': 0.00129, 'val_FeatRecLoss': 0.00061, 'val_kl_Loss_Z': 9.79874, 'val_kl_Loss_FC': 0.0}
100 not saved {'val_OrigRecLoss': 0.00139, 'val_FeatRecLoss': 0.0006, 'val_kl_Loss_Z': 9.83837, 'val_kl_Loss_FC': 0.0}
101 saved {'val_OrigRecLoss': 0.00126, 'val_FeatRecLoss': 0.0006, 'val_kl_Loss_Z': 9.67967, 'val_kl_Loss_FC': 1e-05}
102 saved {'val_OrigRecLoss': 0.00124, 'val_FeatRecLoss': 0.0006, 'val_kl_Loss_Z': 9.65859, 'val_kl_Loss_FC': 0.0}
103 not saved {'val_OrigRecLoss': 0.00125, 'val_FeatRecLoss': 0.00064, 'val_kl_Loss_Z': 9.9406, 'val_kl_Loss_FC': 1e-05}
104 not saved {'val_OrigRecLoss': 0.0013, 'val_FeatRecLoss': 0.00058, 'val_kl_Loss_Z': 9.61282, 'val_kl_Loss_FC': 1e-05}
105 saved {'val_OrigRecLoss': 0.00124, 'val_FeatRecLoss': 0.00058, 'val_kl_Loss_Z': 9.68179, 'val_kl_Loss_FC': 0.0}
106 not saved {'val_OrigRecLoss': 0.00128, 'val_FeatRecLoss': 0.00058, 'val_kl_Loss_Z': 9.61038, 'val_kl_Loss_FC': 0.0}
107 not saved {'val_OrigRecLoss': 0.00125, 'val_FeatRecLoss': 0.00057, 'val_kl_Loss_Z': 9.49563, 'val_kl_Loss_FC': 0.0}
108 saved {'val_OrigRecLoss': 0.00123, 'val_FeatRecLoss': 0.00056, 'val_kl_Loss_Z': 9.7461, 'val_kl_Loss_FC': 1e-05}
109 not saved {'val_OrigRecLoss': 0.00125, 'val_FeatRecLoss': 0.00055, 'val_kl_Loss_Z': 9.61411, 'val_kl_Loss_FC': 0.0}
110 saved {'val_OrigRecLoss': 0.00121, 'val_FeatRecLoss': 0.00059, 'val_kl_Loss_Z': 9.63958, 'val_kl_Loss_FC': 0.0}
111 saved {'val_OrigRecLoss': 0.0012, 'val_FeatRecLoss': 0.00055, 'val_kl_Loss_Z': 9.46693, 'val_kl_Loss_FC': 0.0}
