133 not saved {'val_OrigRecLoss': 0.00086, 'val_FeatRecLoss': 0.00041, 'val_kl_Loss_FC': 5e-05}
134 saved {'val_OrigRecLoss': 0.00083, 'val_FeatRecLoss': 0.0004, 'val_kl_Loss_FC': 4e-05}
135 not saved {'val_OrigRecLoss': 0.00088, 'val_FeatRecLoss': 0.00041, 'val_kl_Loss_FC': 4e-05}
136 not saved {'val_OrigRecLoss': 0.00103, 'val_FeatRecLoss': 0.0004, 'val_kl_Loss_FC': 9e-05}
137 not saved {'val_OrigRecLoss': 0.00084, 'val_FeatRecLoss': 0.00039, 'val_kl_Loss_FC': 5e-05}
138 not saved {'val_OrigRecLoss': 0.00084, 'val_FeatRecLoss': 0.0004, 'val_kl_Loss_FC': 4e-05}
139 not saved {'val_OrigRecLoss': 0.00083, 'val_FeatRecLoss': 0.00041, 'val_kl_Loss_FC': 9e-05}
140 not saved {'val_OrigRecLoss': 0.00085, 'val_FeatRecLoss': 0.00039, 'val_kl_Loss_FC': 7e-05}
141 saved {'val_OrigRecLoss': 0.00082, 'val_FeatRecLoss': 0.00039, 'val_kl_Loss_FC': 4e-05}
142 not saved {'val_OrigRecLoss': 0.00083, 'val_FeatRecLoss': 0.00039, 'val_kl_Loss_FC': 9e-05}
143 not saved {'val_OrigRecLoss': 0.00083, 'val_FeatRecLoss': 0.00039, 'val_kl_Loss_FC': 7e-05}
144 saved {'val_OrigRecLoss': 0.00081, 'val_FeatRecLoss': 0.00039, 'val_kl_Loss_FC': 8e-05}
145 saved {'val_OrigRecLoss': 0.0008, 'val_FeatRecLoss': 0.00039, 'val_kl_Loss_FC': 9e-05}
146 not saved {'val_OrigRecLoss': 0.0008, 'val_FeatRecLoss': 0.00039, 'val_kl_Loss_FC': 1e-05}
147 not saved {'val_OrigRecLoss': 0.00081, 'val_FeatRecLoss': 0.00038, 'val_kl_Loss_FC': 9e-05}
148 not saved {'val_OrigRecLoss': 0.00081, 'val_FeatRecLoss': 0.00039, 'val_kl_Loss_FC': 4e-05}
149 not saved {'val_OrigRecLoss': 0.0009, 'val_FeatRecLoss': 0.00039, 'val_kl_Loss_FC': 4e-05}
150 saved {'val_OrigRecLoss': 0.00079, 'val_FeatRecLoss': 0.00039, 'val_kl_Loss_FC': 7e-05}
151 not saved {'val_OrigRecLoss': 0.0008, 'val_FeatRecLoss': 0.00038, 'val_kl_Loss_FC': 3e-05}
152 saved {'val_OrigRecLoss': 0.00078, 'val_FeatRecLoss': 0.0004, 'val_kl_Loss_FC': 4e-05}
153 saved {'val_OrigRecLoss': 0.00078, 'val_FeatRecLoss': 0.00038, 'val_kl_Loss_FC': 1e-05}
154 not saved {'val_OrigRecLoss': 0.00083, 'val_FeatRecLoss': 0.00039, 'val_kl_Loss_FC': 4e-05}
155 not saved {'val_OrigRecLoss': 0.0008, 'val_FeatRecLoss': 0.00039, 'val_kl_Loss_FC': 3e-05}
156 not saved {'val_OrigRecLoss': 0.00079, 'val_FeatRecLoss': 0.00038, 'val_kl_Loss_FC': 4e-05}
157 saved {'val_OrigRecLoss': 0.00078, 'val_FeatRecLoss': 0.00039, 'val_kl_Loss_FC': 8e-05}
158 saved {'val_OrigRecLoss': 0.00077, 'val_FeatRecLoss': 0.00038, 'val_kl_Loss_FC': 8e-05}
159 not saved {'val_OrigRecLoss': 0.00078, 'val_FeatRecLoss': 0.00041, 'val_kl_Loss_FC': 2e-05}
160 saved {'val_OrigRecLoss': 0.00076, 'val_FeatRecLoss': 0.00038, 'val_kl_Loss_FC': 1e-05}
161 not saved {'val_OrigRecLoss': 0.00077, 'val_FeatRecLoss': 0.00039, 'val_kl_Loss_FC': 1e-05}
162 not saved {'val_OrigRecLoss': 0.00085, 'val_FeatRecLoss': 0.00039, 'val_kl_Loss_FC': 4e-05}
163 saved {'val_OrigRecLoss': 0.00075, 'val_FeatRecLoss': 0.00039, 'val_kl_Loss_FC': 3e-05}
164 not saved {'val_OrigRecLoss': 0.00078, 'val_FeatRecLoss': 0.00039, 'val_kl_Loss_FC': 2e-05}
165 not saved {'val_OrigRecLoss': 0.00077, 'val_FeatRecLoss': 0.00038, 'val_kl_Loss_FC': 2e-05}
166 not saved {'val_OrigRecLoss': 0.00076, 'val_FeatRecLoss': 0.00039, 'val_kl_Loss_FC': 4e-05}
167 saved {'val_OrigRecLoss': 0.00074, 'val_FeatRecLoss': 0.00039, 'val_kl_Loss_FC': 5e-05}
168 not saved {'val_OrigRecLoss': 0.00075, 'val_FeatRecLoss': 0.00039, 'val_kl_Loss_FC': 3e-05}
169 not saved {'val_OrigRecLoss': 0.00078, 'val_FeatRecLoss': 0.00037, 'val_kl_Loss_FC': 5e-05}
170 not saved {'val_OrigRecLoss': 0.00075, 'val_FeatRecLoss': 0.0004, 'val_kl_Loss_FC': 4e-05}
171 not saved {'val_OrigRecLoss': 0.00077, 'val_FeatRecLoss': 0.00039, 'val_kl_Loss_FC': 6e-05}
172 not saved {'val_OrigRecLoss': 0.00075, 'val_FeatRecLoss': 0.00038, 'val_kl_Loss_FC': 1e-05}
173 saved {'val_OrigRecLoss': 0.00074, 'val_FeatRecLoss': 0.00037, 'val_kl_Loss_FC': 5e-05}
174 saved {'val_OrigRecLoss': 0.00073, 'val_FeatRecLoss': 0.00037, 'val_kl_Loss_FC': 1e-05}
175 not saved {'val_OrigRecLoss': 0.00074, 'val_FeatRecLoss': 0.00038, 'val_kl_Loss_FC': 5e-05}
