74 not saved {'val_OrigRecLoss': 0.00217, 'val_FeatRecLoss': 0.006, 'val_kl_Loss_Z': 0.10055, 'val_kl_Loss_FC': 0.0}
75 not saved {'val_OrigRecLoss': 0.00213, 'val_FeatRecLoss': 0.00601, 'val_kl_Loss_Z': 0.10575, 'val_kl_Loss_FC': 1e-05}
76 not saved {'val_OrigRecLoss': 0.00201, 'val_FeatRecLoss': 0.00601, 'val_kl_Loss_Z': 0.09353, 'val_kl_Loss_FC': 0.0}
77 not saved {'val_OrigRecLoss': 0.00219, 'val_FeatRecLoss': 0.00602, 'val_kl_Loss_Z': 0.09765, 'val_kl_Loss_FC': 0.0}
78 not saved {'val_OrigRecLoss': 0.00203, 'val_FeatRecLoss': 0.00603, 'val_kl_Loss_Z': 0.10657, 'val_kl_Loss_FC': 1e-05}
79 not saved {'val_OrigRecLoss': 0.00203, 'val_FeatRecLoss': 0.00602, 'val_kl_Loss_Z': 0.09988, 'val_kl_Loss_FC': 1e-05}
80 not saved {'val_OrigRecLoss': 0.00197, 'val_FeatRecLoss': 0.006, 'val_kl_Loss_Z': 0.09812, 'val_kl_Loss_FC': 0.0}
81 not saved {'val_OrigRecLoss': 0.00197, 'val_FeatRecLoss': 0.00602, 'val_kl_Loss_Z': 0.10888, 'val_kl_Loss_FC': 1e-05}
82 not saved {'val_OrigRecLoss': 0.00201, 'val_FeatRecLoss': 0.00602, 'val_kl_Loss_Z': 0.10254, 'val_kl_Loss_FC': 1e-05}
83 not saved {'val_OrigRecLoss': 0.00193, 'val_FeatRecLoss': 0.00602, 'val_kl_Loss_Z': 0.11141, 'val_kl_Loss_FC': 0.0}
84 not saved {'val_OrigRecLoss': 0.00193, 'val_FeatRecLoss': 0.00601, 'val_kl_Loss_Z': 0.10439, 'val_kl_Loss_FC': 0.0}
85 not saved {'val_OrigRecLoss': 0.00193, 'val_FeatRecLoss': 0.00601, 'val_kl_Loss_Z': 0.12129, 'val_kl_Loss_FC': 0.0}
