149 not saved {'val_OrigRecLoss': 0.00157, 'val_FeatRecLoss': 0.00116, 'val_kl_Loss_Z': 1.44897, 'val_kl_Loss_FC': 1e-05}
150 not saved {'val_OrigRecLoss': 0.00149, 'val_FeatRecLoss': 0.00114, 'val_kl_Loss_Z': 1.42982, 'val_kl_Loss_FC': 0.0}
151 not saved {'val_OrigRecLoss': 0.00161, 'val_FeatRecLoss': 0.00116, 'val_kl_Loss_Z': 1.43921, 'val_kl_Loss_FC': 0.0}
152 not saved {'val_OrigRecLoss': 0.00151, 'val_FeatRecLoss': 0.00112, 'val_kl_Loss_Z': 1.39959, 'val_kl_Loss_FC': 0.0}
153 not saved {'val_OrigRecLoss': 0.00153, 'val_FeatRecLoss': 0.0011, 'val_kl_Loss_Z': 1.44183, 'val_kl_Loss_FC': 0.0}
154 not saved {'val_OrigRecLoss': 0.00148, 'val_FeatRecLoss': 0.00108, 'val_kl_Loss_Z': 1.40759, 'val_kl_Loss_FC': 2e-05}
155 not saved {'val_OrigRecLoss': 0.0015, 'val_FeatRecLoss': 0.00106, 'val_kl_Loss_Z': 1.43527, 'val_kl_Loss_FC': 0.0}
156 not saved {'val_OrigRecLoss': 0.00148, 'val_FeatRecLoss': 0.00108, 'val_kl_Loss_Z': 1.40942, 'val_kl_Loss_FC': 0.0}
157 saved {'val_OrigRecLoss': 0.00147, 'val_FeatRecLoss': 0.00104, 'val_kl_Loss_Z': 1.41821, 'val_kl_Loss_FC': 1e-05}
158 not saved {'val_OrigRecLoss': 0.00149, 'val_FeatRecLoss': 0.00105, 'val_kl_Loss_Z': 1.43564, 'val_kl_Loss_FC': 0.0}
159 not saved {'val_OrigRecLoss': 0.00156, 'val_FeatRecLoss': 0.00108, 'val_kl_Loss_Z': 1.41119, 'val_kl_Loss_FC': 0.0}
160 saved {'val_OrigRecLoss': 0.00145, 'val_FeatRecLoss': 0.00103, 'val_kl_Loss_Z': 1.39533, 'val_kl_Loss_FC': 1e-05}
161 saved {'val_OrigRecLoss': 0.00142, 'val_FeatRecLoss': 0.00106, 'val_kl_Loss_Z': 1.37326, 'val_kl_Loss_FC': 0.0}
162 not saved {'val_OrigRecLoss': 0.00144, 'val_FeatRecLoss': 0.00099, 'val_kl_Loss_Z': 1.41053, 'val_kl_Loss_FC': 0.0}
163 not saved {'val_OrigRecLoss': 0.00153, 'val_FeatRecLoss': 0.00098, 'val_kl_Loss_Z': 1.38034, 'val_kl_Loss_FC': 1e-05}
164 not saved {'val_OrigRecLoss': 0.00152, 'val_FeatRecLoss': 0.00098, 'val_kl_Loss_Z': 1.38124, 'val_kl_Loss_FC': 1e-05}
165 not saved {'val_OrigRecLoss': 0.00151, 'val_FeatRecLoss': 0.00098, 'val_kl_Loss_Z': 1.38239, 'val_kl_Loss_FC': 1e-05}
166 not saved {'val_OrigRecLoss': 0.00146, 'val_FeatRecLoss': 0.00096, 'val_kl_Loss_Z': 1.37083, 'val_kl_Loss_FC': 1e-05}
167 not saved {'val_OrigRecLoss': 0.00144, 'val_FeatRecLoss': 0.00097, 'val_kl_Loss_Z': 1.3481, 'val_kl_Loss_FC': 1e-05}
168 not saved {'val_OrigRecLoss': 0.00144, 'val_FeatRecLoss': 0.00104, 'val_kl_Loss_Z': 1.38271, 'val_kl_Loss_FC': 0.0}
