112 saved {'val_OrigRecLoss': 0.00549, 'val_FeatRecLoss': 0.00018, 'val_kl_Loss_Z': 0.70115}
113 saved {'val_OrigRecLoss': 0.0054, 'val_FeatRecLoss': 0.00017, 'val_kl_Loss_Z': 0.7009}
114 saved {'val_OrigRecLoss': 0.00538, 'val_FeatRecLoss': 0.00018, 'val_kl_Loss_Z': 0.70271}
115 not saved {'val_OrigRecLoss': 0.00539, 'val_FeatRecLoss': 0.00017, 'val_kl_Loss_Z': 0.70486}
116 saved {'val_OrigRecLoss': 0.00527, 'val_FeatRecLoss': 0.00018, 'val_kl_Loss_Z': 0.6872}
117 not saved {'val_OrigRecLoss': 0.00528, 'val_FeatRecLoss': 0.00017, 'val_kl_Loss_Z': 0.68171}
118 not saved {'val_OrigRecLoss': 0.00562, 'val_FeatRecLoss': 0.00017, 'val_kl_Loss_Z': 0.68246}
119 saved {'val_OrigRecLoss': 0.00515, 'val_FeatRecLoss': 0.00017, 'val_kl_Loss_Z': 0.67032}
120 not saved {'val_OrigRecLoss': 0.00527, 'val_FeatRecLoss': 0.00017, 'val_kl_Loss_Z': 0.66853}
121 saved {'val_OrigRecLoss': 0.00507, 'val_FeatRecLoss': 0.00017, 'val_kl_Loss_Z': 0.69546}
122 not saved {'val_OrigRecLoss': 0.00519, 'val_FeatRecLoss': 0.00017, 'val_kl_Loss_Z': 0.65995}
123 not saved {'val_OrigRecLoss': 0.00522, 'val_FeatRecLoss': 0.00017, 'val_kl_Loss_Z': 0.65913}
124 not saved {'val_OrigRecLoss': 0.00507, 'val_FeatRecLoss': 0.00017, 'val_kl_Loss_Z': 0.70477}
125 not saved {'val_OrigRecLoss': 0.00523, 'val_FeatRecLoss': 0.00017, 'val_kl_Loss_Z': 0.64632}
126 not saved {'val_OrigRecLoss': 0.00514, 'val_FeatRecLoss': 0.00017, 'val_kl_Loss_Z': 0.65063}
127 saved {'val_OrigRecLoss': 0.00496, 'val_FeatRecLoss': 0.00017, 'val_kl_Loss_Z': 0.64963}
128 saved {'val_OrigRecLoss': 0.00494, 'val_FeatRecLoss': 0.00017, 'val_kl_Loss_Z': 0.66175}
129 not saved {'val_OrigRecLoss': 0.00498, 'val_FeatRecLoss': 0.00017, 'val_kl_Loss_Z': 0.66452}
130 saved {'val_OrigRecLoss': 0.00494, 'val_FeatRecLoss': 0.00017, 'val_kl_Loss_Z': 0.63493}
131 saved {'val_OrigRecLoss': 0.0049, 'val_FeatRecLoss': 0.00018, 'val_kl_Loss_Z': 0.66684}
132 saved {'val_OrigRecLoss': 0.00486, 'val_FeatRecLoss': 0.00018, 'val_kl_Loss_Z': 0.63163}
133 not saved {'val_OrigRecLoss': 0.0049, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 0.6499}
134 saved {'val_OrigRecLoss': 0.00483, 'val_FeatRecLoss': 0.00017, 'val_kl_Loss_Z': 0.67162}
135 not saved {'val_OrigRecLoss': 0.00485, 'val_FeatRecLoss': 0.00017, 'val_kl_Loss_Z': 0.63411}
136 saved {'val_OrigRecLoss': 0.00478, 'val_FeatRecLoss': 0.00017, 'val_kl_Loss_Z': 0.63618}
137 not saved {'val_OrigRecLoss': 0.0048, 'val_FeatRecLoss': 0.00017, 'val_kl_Loss_Z': 0.64099}
138 not saved {'val_OrigRecLoss': 0.00479, 'val_FeatRecLoss': 0.00017, 'val_kl_Loss_Z': 0.69351}
139 saved {'val_OrigRecLoss': 0.00475, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 0.70225}
140 saved {'val_OrigRecLoss': 0.00474, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 0.71861}
141 saved {'val_OrigRecLoss': 0.00472, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 0.73408}
142 saved {'val_OrigRecLoss': 0.00469, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 0.72847}
143 saved {'val_OrigRecLoss': 0.00463, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 0.82334}
144 not saved {'val_OrigRecLoss': 0.00466, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 0.7126}
145 not saved {'val_OrigRecLoss': 0.00467, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 0.72485}
146 saved {'val_OrigRecLoss': 0.00463, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 0.71318}
147 saved {'val_OrigRecLoss': 0.00456, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 0.72754}
148 not saved {'val_OrigRecLoss': 0.00464, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 0.73662}
149 not saved {'val_OrigRecLoss': 0.00477, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 0.71954}
150 saved {'val_OrigRecLoss': 0.00453, 'val_FeatRecLoss': 0.00015, 'val_kl_Loss_Z': 0.74054}
151 not saved {'val_OrigRecLoss': 0.0047, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 0.78737}
152 not saved {'val_OrigRecLoss': 0.00455, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 0.78177}
153 saved {'val_OrigRecLoss': 0.00453, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 0.79781}
154 not saved {'val_OrigRecLoss': 0.00458, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 0.79734}
155 saved {'val_OrigRecLoss': 0.00445, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 0.78411}
156 saved {'val_OrigRecLoss': 0.00445, 'val_FeatRecLoss': 0.00015, 'val_kl_Loss_Z': 0.76448}
157 not saved {'val_OrigRecLoss': 0.00451, 'val_FeatRecLoss': 0.00015, 'val_kl_Loss_Z': 0.83738}
158 not saved {'val_OrigRecLoss': 0.00445, 'val_FeatRecLoss': 0.00015, 'val_kl_Loss_Z': 0.78153}
